timestamp_unix,token,pos,dim,hidden_dim,n_heads,n_kv_heads,rms_att_ms,qkv_ms,rope_kvcache_ms,cpu_attn_ms,h2d_out_proj_res_ms,rms_ffn_ms,ffn_w1w3_ms,swiglu_w2_ms,total_layer_ms,est_32_layer_ms,est_tok_s
1778307247,1559,10,4096,11008,32,32,0.034816,0.993280,0.115907,0.071837,0.354560,0.033792,0.856064,0.893952,3.354208,107.334656,9.316655
1778310945,1559,10,4096,11008,32,32,0.033792,0.975872,0.098792,0.041131,0.350272,0.032768,0.854016,0.883712,3.270355,104.651360,9.555537
1778344301,1559,10,4096,11008,32,32,0.034816,0.983040,0.129132,0.096658,0.357408,0.037888,0.851968,0.883712,3.374622,107.987907,9.260296
1778344494,1559,10,4096,11008,32,32,0.034816,0.989184,0.117421,0.069645,0.352864,0.038912,0.854016,0.894976,3.351834,107.258698,9.323254
1778344683,1559,10,4096,11008,32,32,0.030720,0.980992,0.111382,0.063723,0.350688,0.033792,0.854016,0.899072,3.324385,106.380318,9.400235
1778345297,1559,10,4096,11008,32,32,0.032768,0.985088,0.115790,0.076157,0.353568,0.036864,0.851968,0.887808,3.340011,106.880356,9.356256
1778345619,1559,10,4096,11008,32,32,0.035840,0.988160,0.115832,0.073808,0.352096,0.036864,0.855040,0.891904,3.349544,107.185410,9.329628
1778345965,1559,10,4096,11008,32,32,0.031744,0.989184,0.096343,0.041621,0.350496,0.031744,0.855040,0.888832,3.285004,105.120132,9.512925
1778347047,1559,10,4096,11008,32,32,0.032768,0.988160,0.097222,0.048281,0.348960,0.031744,0.851968,0.889856,3.288959,105.246689,9.501487
1778349020,1559,10,4096,11008,32,32,0.039936,0.990208,0.140873,0.094447,0.377280,0.039936,0.854016,0.889856,3.426552,109.649658,9.119955
