timestamp_unix,token,pos,dim,hidden_dim,n_heads,n_kv_heads,rms_att_ms,qkv_ms,rope_kvcache_ms,flash_attn_ms,out_proj_res_ms,rms_ffn_ms,ffn_w1w3_ms,swiglu_w2_ms,total_layer_ms,est_32_layer_ms,est_tok_s
1778042896,1559,10,4096,11008,32,32,0.019456,0.149504,0.029696,0.039936,0.056320,0.014336,0.164864,0.099328,0.573440,18.350080,54.495674
1778044420,28911,10,4096,11008,32,32,0.014336,0.111616,0.018432,0.027648,0.040960,0.011264,0.130048,0.077824,0.432128,13.828096,72.316536
1778132643,1559,10,4096,11008,32,32,0.014336,0.119808,0.018432,0.028672,0.049152,0.013312,0.159744,0.092160,0.495616,15.859713,63.052845
1778137793,28911,10,4096,11008,32,32,0.013312,0.116736,0.016384,0.028672,0.044032,0.012288,0.155648,0.088064,0.475136,15.204351,65.770645
1778140311,1559,10,4096,11008,32,32,0.013312,0.124928,0.025600,0.028672,0.047104,0.013312,0.156672,0.089088,0.498688,15.958015,62.664433
1778167998,1559,10,4096,11008,32,32,0.011264,0.094208,0.011264,0.020480,0.036864,0.010240,0.126976,0.072704,0.384000,12.288000,81.380211
1778220089,28911,10,4096,11008,32,32,0.015360,0.123904,0.016384,0.030720,0.048128,0.015360,0.160768,0.093184,0.503808,16.121857,62.027596
1778220538,1559,10,4096,11008,32,32,0.013312,0.115712,0.016384,0.027648,0.045056,0.013312,0.155648,0.089088,0.476160,15.237120,65.629204
1778223160,28911,10,4096,11008,32,32,0.016384,0.142336,0.028672,0.034816,0.052224,0.014336,0.166912,0.097280,0.552960,17.694721,56.514030
1778349288,28911,10,4096,11008,32,32,0.013312,0.123904,0.027648,0.029696,0.048128,0.012288,0.157696,0.091136,0.503808,16.121855,62.027603
1778366415,10551,50,4096,11008,32,32,0.013312,0.117760,0.021504,0.035840,0.041984,0.012288,0.128000,0.077824,0.448512,14.352385,69.674835
